Caption,Visual Attributes
A silver spoon rests next to a white porcelain plate.,"{'silver','white','porcelain'}"
Three green leaves float on still water.,"{'green','still'}"
A brown leather briefcase leans against a metal chair.,"{'brown','leather','metal'}"
A fluffy white cloud drifts across a blue sky.,"{'fluffy','white','blue'}"
A shiny red bicycle stands parked by a brick wall.,"{'shiny','red','brick'}"
Five colorful balloons tied to a wooden fence post.,"{'colorful','wooden'}"
A pair of black leather shoes sits on a tiled floor.,"{'black','leather','tiled'}"
A sleek silver laptop rests on a glass desk.,"{'sleek','silver','glass'}"
A ripe yellow banana curves on a marble countertop.,"{'ripe','yellow','marble'}"
Three striped beach towels hang on a metal rack.,"{'striped','metal'}"
A golden retriever puppy chews on a rubber toy.,"{'golden','rubber'}"
A stack of worn leather-bound books on a dusty shelf.,"{'worn','leather-bound','dusty'}"
A ceramic mug filled with steaming black coffee.,"{'ceramic','steaming','black'}"
A rusty old bicycle leans against a weathered fence.,"{'rusty','old','weathered'}"
A cracked eggshell lies on a stainless steel countertop.,"{'cracked','stainless steel'}"
Two pink flamingos stand in shallow water.,"{'pink','shallow'}"
A wilted red rose droops in a crystal vase.,"{'wilted','red','crystal'}"
An orange tabby cat stretches on a plush carpet.,"{'orange','tabby','plush'}"
A chipped blue teacup sits on a lace doily.,"{'chipped','blue','lace'}"
Three smooth river rocks stack on wet sand.,"{'smooth','wet'}"
A tattered American flag waves in a strong breeze.,"{'tattered','strong'}"
A polished brass door knocker on a green painted door.,"{'polished','brass','green','painted'}"
Two mismatched socks hang on a plastic clothesline.,"{'mismatched','plastic'}"
A crumpled paper bag lies on a concrete sidewalk.,"{'crumpled','concrete'}"
Five colorful kites soar in a cloudless sky.,"{'colorful','cloudless'}"
A rusted iron gate stands slightly ajar.,"{'rusted','iron','ajar'}"
Two ripe peaches rest in a woven wicker basket.,"{'ripe','woven','wicker'}"
A chrome faucet drips water into a porcelain sink.,"{'chrome','porcelain'}"
Three yellow tennis balls sit in a mesh bag.,"{'yellow','mesh'}"
A wrinkled linen tablecloth covers a wooden picnic table.,"{'wrinkled','linen','wooden'}"
Two fluffy white rabbits nibble on fresh carrots.,"{'fluffy','white','fresh'}"
A shiny red fire truck parked outside a brick building.,"{'shiny','red','brick'}"
Four sharp pencils lie next to a spiral notebook.,"{'sharp','spiral'}"
A half-eaten green apple on a paper napkin.,"{'half-eaten','green','paper'}"
Three orange traffic cones line a freshly paved road.,"{'orange','freshly paved'}"
A cracked leather baseball glove rests on home plate.,"{'cracked','leather'}"
Two empty glass bottles stand on a windowsill.,"{'empty','glass'}"
A rusted chain hangs from a moss-covered tree branch.,"{'rusted','moss-covered'}"
Five multicolored marbles roll across a hardwood floor.,"{'multicolored','hardwood'}"
A sleeping tabby cat curls up on a fleece blanket.,"{'sleeping','tabby','fleece'}"
Two misty mountains rise behind a serene lake.,"{'misty','serene'}"
A chipped ceramic bowl filled with ripe strawberries.,"{'chipped','ceramic','ripe'}"
Three seagulls perch on a weathered wooden pier.,"{'weathered','wooden'}"
A steaming cup of tea sits on a lace doily.,"{'steaming','lace'}"
Four crisp dollar bills tucked into a leather wallet.,"{'crisp','leather'}"
A rusty old truck abandoned in an overgrown field.,"{'rusty','old','overgrown'}"
Two spotted ladybugs crawl on a green leaf.,"{'spotted','green'}"
A broken clock face lies on a dusty attic floor.,"{'broken','dusty'}"
Three colorful hot air balloons float in a clear sky.,"{'colorful','clear'}"
A snow-covered pine tree stands in a wintry forest.,"{'snow-covered','wintry'}"
Two empty swings sway gently in a light breeze.,"{'empty','light'}"
A cracked sidewalk leads to a weathered front porch.,"{'cracked','weathered'}"
Four ripe tomatoes rest on a wooden cutting board.,"{'ripe','wooden'}"
A rusted bicycle chain lies coiled on a workbench.,"{'rusted','coiled'}"
Two yellow rubber ducks float in a sudsy bathtub.,"{'yellow','rubber','sudsy'}"
A frayed rope hangs from a sturdy tree branch.,"{'frayed','sturdy'}"
Three smooth pebbles skip across a calm lake surface.,"{'smooth','calm'}"
A chipped porcelain doll sits on a velvet cushion.,"{'chipped','porcelain','velvet'}"
Two striped beach umbrellas planted in soft sand.,"{'striped','soft'}"
A weathered wooden sign points to a narrow dirt path.,"{'weathered','wooden','narrow','dirt'}"
Four glossy magazines fanned out on a glass coffee table.,"{'glossy','glass'}"
A rusty old key hangs on a tarnished brass hook.,"{'rusty','old','tarnished','brass'}"
Two mismatched gloves lie forgotten on a park bench.,"{'mismatched','forgotten'}"
A cracked leather baseball bounces on concrete steps.,"{'cracked','leather','concrete'}"
Three colorful pinwheels spin in a gentle breeze.,"{'colorful','gentle'}"
A chipped enamel pot simmers on a gas stovetop.,"{'chipped','enamel','gas'}"
Two fluffy white clouds drift across a pale blue sky.,"{'fluffy','white','pale blue'}"
A worn leather suitcase sits atop a luggage cart.,"{'worn','leather'}"
Four shiny quarters line up on a wooden dresser.,"{'shiny','wooden'}"
A rusty old anchor half-buried in wet sand.,"{'rusty','old','wet'}"
Two spotless wine glasses stand on a polished bar.,"{'spotless','polished'}"
A crumpled paper map unfolds on a car dashboard.,"{'crumpled','paper'}"
Three red apples hang from a gnarled tree branch.,"{'red','gnarled'}"
A chipped blue bowl filled with salted popcorn.,"{'chipped','blue','salted'}"
Two sleek black cats perch on a white windowsill.,"{'sleek','black','white'}"
A worn leather football rests on freshly cut grass.,"{'worn','leather','freshly cut'}"
Four sharp kitchen knives lined up on a magnetic strip.,"{'sharp','magnetic'}"
A rusty old wagon wheel leans against a wooden fence.,"{'rusty','old','wooden'}"
Two striped beach towels draped over a balcony railing.,{'striped'}
A cracked ceramic flowerpot holds withering daisies.,"{'cracked','ceramic','withering'}"
Three smooth river stones stack in a zen garden.,"{'smooth','zen'}"
A chipped enamel kettle whistles on a gas stove.,"{'chipped','enamel','gas'}"
Two mismatched earrings lie on a velvet jewelry box.,"{'mismatched','velvet'}"
A frayed rope swing hangs from a sturdy oak branch.,"{'frayed','sturdy','oak'}"
Four colorful push pins stuck in a cork bulletin board.,"{'colorful','cork'}"
A rusty old toolbox sits open on a workbench.,"{'rusty','old'}"
Two spotted dice roll across a green felt table.,"{'spotted','green','felt'}"
A cracked leather-bound journal rests on an antique desk.,"{'cracked','leather-bound','antique'}"
Three yellow pencils lie next to a lined notebook.,"{'yellow','lined'}"
A chipped porcelain teacup filled with Earl Grey tea.,"{'chipped','porcelain'}"
Two fuzzy dice hang from a car's rearview mirror.,{'fuzzy'}
A worn baseball glove catches a scuffed white baseball.,"{'worn','scuffed','white'}"
Four shiny hubcaps lean against a brick garage wall.,"{'shiny','brick'}"
A rusty old bicycle chain coils on a workbench.,"{'rusty','old','coiled'}"
Two spotted koi fish swim in a clear pond.,"{'spotted','clear'}"
A cracked smartphone screen reflects fluorescent light.,"{'cracked','fluorescent'}"
Three smooth pebbles balance on a jagged rock.,"{'smooth','jagged'}"
A chipped wooden picture frame displays a faded photo.,"{'chipped','wooden','faded'}"
Two mismatched buttons sewn onto a patched jacket.,"{'mismatched','patched'}"
A frayed electrical cord dangles from an outlet.,{'frayed'}
Four colorful crayons roll across a child's desk.,{'colorful'}
A rusty old padlock hangs on a chain-link fence.,"{'rusty','old','chain-link'}"
Two spotted ladybugs crawl on a green leaf.,"{'spotted','green'}"
A cracked side mirror hangs loosely on a parked car.,"{'cracked','loose'}"
Three smooth golf balls rest in dewy grass.,"{'smooth','dewy'}"
A chipped ceramic bowl holds ripe cherries.,"{'chipped','ceramic','ripe'}"
Two striped candy canes hang on a Christmas tree.,{'striped'}
A worn leather wallet bulges with credit cards.,"{'worn','leather','bulging'}"
Four shiny quarters stack on a wooden table.,"{'shiny','wooden'}"
A rusty old toolbox sits open in a dusty garage.,"{'rusty','old','dusty'}"
Two spotted mushrooms grow in damp soil.,"{'spotted','damp'}"
A cracked eggshell lies on a kitchen counter.,{'cracked'}
Three smooth stones skip across a still lake.,"{'smooth','still'}"
A chipped mug fills with steaming coffee.,"{'chipped','steaming'}"
Two mismatched socks hang on a clothesline.,{'mismatched'}
A frayed rope swings from a tree branch.,{'frayed'}
Four colorful balloons float in a clear sky.,"{'colorful','clear'}"
A rusty old anchor rests on a sandy beach.,"{'rusty','old','sandy'}"
Two spotted cows graze in a green field.,"{'spotted','green'}"
A cracked windshield spider-webs across a car.,"{'cracked','spider-webbed'}"
Three smooth pebbles stack in a garden.,{'smooth'}
A chipped plate holds a slice of chocolate cake.,"{'chipped','chocolate'}"
Two striped pillows rest on a leather couch.,"{'striped','leather'}"
A worn baseball lies in freshly cut grass.,"{'worn','freshly cut'}"
Four shiny apples sit in a wooden bowl.,"{'shiny','wooden'}"
A rusty old key hangs on a metal hook.,"{'rusty','old','metal'}"
Two spotted puppies play with a red ball.,"{'spotted','red'}"
A cracked egg yolk spreads on a hot griddle.,"{'cracked','hot'}"
Three smooth seashells line a sandy shore.,"{'smooth','sandy'}"
A chipped tooth shows in a wide smile.,"{'chipped','wide'}"
Two mismatched chairs flank a small table.,"{'mismatched','small'}"
A frayed American flag waves in the wind.,{'frayed'}
Four colorful fish swim in a glass tank.,"{'colorful','glass'}"
A rusty old car sits abandoned in a field.,"{'rusty','old','abandoned'}"
Two spotted dice roll on a green felt table.,"{'spotted','green','felt'}"
A cracked mirror reflects a dim room.,"{'cracked','dim'}"
Three smooth rocks balance precariously.,"{'smooth','precarious'}"
A chipped paint reveals wood underneath.,{'chipped'}
Two striped tigers pace in a steel cage.,"{'striped','steel'}"
A worn path winds through a dense forest.,"{'worn','dense'}"
Four shiny coins lie at the bottom of a fountain.,{'shiny'}
A rusty old bicycle leans against a brick wall.,"{'rusty','old','brick'}"
Two spotted leopards rest on a tree branch.,{'spotted'}
A cracked sidewalk leads to an old house.,"{'cracked','old'}"
Three smooth river rocks sit in shallow water.,"{'smooth','shallow'}"
A chipped tooth mars an otherwise perfect smile.,"{'chipped','perfect'}"
Two mismatched shoes sit by the front door.,{'mismatched'}
A frayed book spine reveals well-loved pages.,"{'frayed','well-loved'}"
Four colorful kites soar in a windy sky.,"{'colorful','windy'}"
A rusty old truck sits in an overgrown field.,"{'rusty','old','overgrown'}"
A yellow rubber duck floats in a bubble-filled bathtub.,"{'yellow','rubber','bubble-filled'}"
Three ripe tomatoes rest on a marble countertop.,"{'ripe','marble'}"
A rusty chain links two wooden fence posts.,"{'rusty','wooden'}"
A sleek black laptop sits on a glass desk.,"{'sleek','black','glass'}"
Two fluffy white clouds drift across a azure sky.,"{'fluffy','white','azure'}"
A cracked leather baseball glove lies in green grass.,"{'cracked','leather','green'}"
Five colorful marbles roll across a hardwood floor.,"{'colorful','hardwood'}"
A chipped blue mug steams with hot coffee.,"{'chipped','blue','hot'}"
Two mismatched socks hang on a plastic clothesline.,"{'mismatched','plastic'}"
A frayed rope swing hangs from a gnarled oak branch.,"{'frayed','gnarled','oak'}"
Three yellow pencils rest beside a spiral notebook.,"{'yellow','spiral'}"
A worn leather armchair sits in a sunny corner.,"{'worn','leather','sunny'}"
Four shiny quarters stack on a wooden table.,"{'shiny','wooden'}"
A wilted sunflower droops in a terracotta pot.,"{'wilted','terracotta'}"
Two spotted ladybugs crawl on a green leaf.,"{'spotted','green'}"
A rusty old bicycle leans against a brick wall.,"{'rusty','old','brick'}"
Three smooth river rocks balance on wet sand.,"{'smooth','wet'}"
A cracked smartphone screen reflects fluorescent light.,"{'cracked','fluorescent'}"
Two striped beach towels drape over a metal railing.,"{'striped','metal'}"
A chipped porcelain vase holds fresh daisies.,"{'chipped','porcelain','fresh'}"
Four sharp kitchen knives align on a magnetic strip.,"{'sharp','magnetic'}"
A tattered paperback book rests on a window sill.,{'tattered'}
Two fuzzy dice hang from a car's rearview mirror.,{'fuzzy'}
A dented aluminum can lies in a recycling bin.,"{'dented','aluminum'}"
Three ripe bananas curve on a wooden fruit bowl.,"{'ripe','wooden'}"
A scratched vinyl record spins on a turntable.,"{'scratched','vinyl'}"
Two mismatched earrings lie on a velvet jewelry box.,"{'mismatched','velvet'}"
A rusted padlock hangs on a chain-link fence.,"{'rusted','chain-link'}"
Four colorful buttons sewn onto a denim jacket.,"{'colorful','denim'}"
A chipped enamel teapot sits on a gas stove.,"{'chipped','enamel','gas'}"
Two spotted koi fish swim in a clear pond.,"{'spotted','clear'}"
A crumpled paper bag rests on a park bench.,{'crumpled'}
Three smooth golf balls nestle in tall grass.,"{'smooth','tall'}"
A threadbare rug covers a creaky wooden floor.,"{'threadbare','creaky','wooden'}"
Two striped candy canes hang on a pine tree.,"{'striped','pine'}"
A dented metal trash can stands in an alley.,"{'dented','metal'}"
Four glossy magazines fan out on a coffee table.,{'glossy'}
A chipped ceramic bowl holds ripe strawberries.,"{'chipped','ceramic','ripe'}"
Two fluffy pillows rest on a leather couch.,"{'fluffy','leather'}"
A rusted garden tools lean against a shed wall.,{'rusted'}
Three shiny apples sit in a woven basket.,"{'shiny','woven'}"
A cracked sidewalk leads to a weathered front porch.,"{'cracked','weathered'}"
Two mismatched chairs flank a small table.,"{'mismatched','small'}"
A frayed American flag waves in a gentle breeze.,"{'frayed','gentle'}"
Four colorful kites soar in a cloudless sky.,"{'colorful','cloudless'}"
A chipped tooth shows in a wide smile.,"{'chipped','wide'}"
Two spotted dice roll on a green felt table.,"{'spotted','green','felt'}"
A worn baseball cap hangs on a wooden peg.,"{'worn','wooden'}"
Three smooth pebbles skip across a calm lake.,"{'smooth','calm'}"
A rusty old key dangles from a brass keyring.,"{'rusty','old','brass'}"
Two striped zebras graze in dry grassland.,"{'striped','dry'}"
A cracked egg yolk sizzles in a hot frying pan.,"{'cracked','hot'}"
Four shiny coins lie at the bottom of a fountain.,{'shiny'}
A chipped paint job reveals wood grain underneath.,{'chipped'}
Two mismatched gloves lie forgotten on a park bench.,"{'mismatched','forgotten'}"
A frayed rope dangles from a sturdy tree branch.,"{'frayed','sturdy'}"
Three colorful pinwheels spin in a flower garden.,{'colorful'}
A dented fender mars a sleek sports car.,"{'dented','sleek'}"
Two spotted cows munch on fresh hay.,"{'spotted','fresh'}"
A cracked mirror reflects a dimly lit room.,"{'cracked','dimly lit'}"
Four sharp pencils stand in a ceramic holder.,"{'sharp','ceramic'}"
A threadbare teddy bear sits on a child's bed.,{'threadbare'}
Two striped polo shirts hang in a wooden wardrobe.,"{'striped','wooden'}"
A rusted anchor lies half-buried in wet sand.,"{'rusted','wet'}"
Three smooth seashells line a sandy shore.,"{'smooth','sandy'}"
A chipped plate holds a slice of chocolate cake.,"{'chipped','chocolate'}"
Two fluffy rabbits nibble on crisp lettuce.,"{'fluffy','crisp'}"
A worn leather wallet bulges with receipts.,"{'worn','leather','bulging'}"
Four colorful balloons bob in a light breeze.,"{'colorful','light'}"
A rusty old truck sits abandoned in tall weeds.,"{'rusty','old','abandoned','tall'}"
Two spotted puppies play with a red rubber ball.,"{'spotted','red','rubber'}"
A cracked windshield spider-webs across a parked car.,"{'cracked','spider-webbed','parked'}"
Three ripe peaches rest in a blue ceramic bowl.,"{'ripe','blue','ceramic'}"
A chipped wooden picture frame displays a faded photo.,"{'chipped','wooden','faded'}"
Two mismatched earrings dangle from pierced ears.,"{'mismatched','pierced'}"
A frayed book spine reveals well-loved pages.,"{'frayed','well-loved'}"
Four shiny hubcaps lean against a garage wall.,{'shiny'}
A dented trash can lid balances precariously.,"{'dented','precarious'}"
Two striped bass swim in a clear aquarium.,"{'striped','clear'}"
A worn path winds through a dense forest.,"{'worn','dense'}"
Three smooth stones stack in a zen garden.,"{'smooth','zen'}"
A chipped tooth mars an otherwise perfect smile.,"{'chipped','perfect'}"
Two fluffy cats nap on a sunny windowsill.,"{'fluffy','sunny'}"
A rusty old bicycle chain coils on a workbench.,"{'rusty','old','coiled'}"
Four colorful crayons roll across a child's desk.,{'colorful'}
A cracked leather briefcase rests beside a desk.,"{'cracked','leather'}"
Two spotted leopards lounge on a tree branch.,{'spotted'}
A threadbare carpet covers creaky stairs.,"{'threadbare','creaky'}"
Three ripe avocados sit in a wooden fruit bowl.,"{'ripe','wooden'}"
A chipped mug fills with steaming tea.,"{'chipped','steaming'}"
Two mismatched shoes sit by the front door.,{'mismatched'}
A frayed electrical cord dangles from a socket.,{'frayed'}
Four shiny trophies line a dusty shelf.,"{'shiny','dusty'}"
A rusty old watering can tips in a flowerbed.,"{'rusty','old'}"
Two striped skunks waddle through tall grass.,"{'striped','tall'}"
A cracked egg shell lies on a marble countertop.,"{'cracked','marble'}"
Three smooth pebbles rest in a glass vase.,"{'smooth','glass'}"
A dented garbage can stands at the curb.,{'dented'}
Two fluffy sheep graze in a green meadow.,"{'fluffy','green'}"
A worn leather saddle rests on a stable door.,"{'worn','leather'}"
Four colorful fish swim in a small pond.,"{'colorful','small'}"
A chipped flowerpot holds blooming petunias.,"{'chipped','blooming'}"
Two spotted dalmatians sit obediently.,"{'spotted','obedient'}"
A rusted gate swings on squeaky hinges.,"{'rusted','squeaky'}"
Three ripe pears balance in a silver bowl.,"{'ripe','silver'}"
A cracked phone screen glows in a dark room.,"{'cracked','dark'}"
Two mismatched curtains frame a large window.,"{'mismatched','large'}"
A frayed flag flutters atop a tall pole.,"{'frayed','tall'}"
Four shiny buttons fasten a wool coat.,"{'shiny','wool'}"
A threadbare rug covers cold tile floor.,"{'threadbare','cold','tile'}"
Two striped tigers pace in a wire enclosure.,"{'striped','wire'}"
A worn baseball lies in freshly cut grass.,"{'worn','freshly cut'}"
Three smooth eggs rest in a wire basket.,"{'smooth','wire'}"
A chipped teacup sits on a porcelain saucer.,"{'chipped','porcelain'}"
Two fluffy towels hang on a heated rack.,"{'fluffy','heated'}"
A rusty old hammer lies on a wooden workbench.,"{'rusty','old','wooden'}"
Four colorful peppers grow in a terracotta pot.,"{'colorful','terracotta'}"
A cracked sidewalk leads to an overgrown garden.,"{'cracked','overgrown'}"
Two spotted geckos cling to a glass terrarium.,"{'spotted','glass'}"
A dented mailbox leans on a weathered post.,"{'dented','weathered'}"
Three ripe mangoes fill a woven basket.,"{'ripe','woven'}"
A chipped bathtub holds soapy bubbles.,"{'chipped','soapy'}"
Two mismatched bookends prop up leather-bound books.,"{'mismatched','leather-bound'}"
A frayed shoelace dangles from a muddy boot.,"{'frayed','muddy'}"
Four shiny ornaments hang on a Christmas tree.,{'shiny'}
A rusty old sewing machine sits in an attic corner.,"{'rusty','old'}"
Two striped pillows rest on a floral couch.,"{'striped','floral'}"
A worn teddy bear sits in a child's arms.,{'worn'}
Three smooth marbles roll in a wooden box.,"{'smooth','wooden'}"
A chipped china plate holds crispy bacon.,"{'chipped','crispy'}"
Two fluffy dogs fetch a frisbee.,{'fluffy'}
A threadbare blanket covers a sleeping cat.,"{'threadbare','sleeping'}"
Four colorful pinwheels spin in a light breeze.,"{'colorful','light'}"
A dented fender scrapes against a tire.,{'dented'}
Two spotted owls perch on a bare branch.,"{'spotted','bare'}"
A cracked lightbulb flickers dimly.,"{'cracked','dim'}"
Three ripe plums nestle in green leaves.,"{'ripe','green'}"
A chipped birdbath attracts thirsty sparrows.,"{'chipped','thirsty'}"
Two mismatched chopsticks rest on a ceramic plate.,"{'mismatched','ceramic'}"
A frayed tablecloth covers a picnic table.,{'frayed'}
Four shiny keys jingle on a metal ring.,"{'shiny','metal'}"
A rusty old toolbox sits under a workbench.,"{'rusty','old'}"
Two striped bees buzz around fragrant flowers.,"{'striped','fragrant'}"
A worn leather belt hangs on a brass hook.,"{'worn','leather','brass'}"
Three smooth shells lie on wet sand.,"{'smooth','wet'}"
A polished silver spoon reflects distorted light.,"{'polished','silver','distorted'}"
Two striped mackerel swim in crystal-clear water.,"{'striped','crystal-clear'}"
A crumbling brick chimney stands atop an old house.,"{'crumbling','brick','old'}"
Four glossy chestnuts rest on autumn leaves.,"{'glossy','autumn'}"
A dented aluminum canoe floats on a still lake.,"{'dented','aluminum','still'}"
Three ripe pineapples sit in a woven fruit basket.,"{'ripe','woven'}"
A chipped porcelain doll stares with glass eyes.,"{'chipped','porcelain','glass'}"
Two fluffy dandelions sway in a gentle breeze.,"{'fluffy','gentle'}"
A rusted padlock hangs on a weathered wooden gate.,"{'rusted','weathered','wooden'}"
Five sharp pencils stand in a ceramic holder.,"{'sharp','ceramic'}"
A frayed rope ladder hangs from a treehouse.,{'frayed'}
Two mismatched windshield wipers swipe across wet glass.,"{'mismatched','wet','glass'}"
A threadbare Persian rug covers a hardwood floor.,"{'threadbare','Persian','hardwood'}"
Three smooth river rocks balance on mossy ground.,"{'smooth','mossy'}"
A scratched DVD spins in an open player.,{'scratched'}
Four colorful hot air balloons float in a clear sky.,"{'colorful','clear'}"
A wilted sunflower droops in a terracotta pot.,"{'wilted','terracotta'}"
Two spotted leopard geckos bask under a heat lamp.,"{'spotted','heat'}"
A cracked leather football lies deflated on grass.,"{'cracked','leather','deflated'}"
Three shiny brass buttons fasten a navy coat.,"{'shiny','brass','navy'}"
A chipped enamel kettle whistles on a gas stove.,"{'chipped','enamel','gas'}"
Two striped beach umbrellas stand in golden sand.,"{'striped','golden'}"
A worn leather briefcase rests against an office chair.,"{'worn','leather'}"
Four ripe kiwis nestle in a blue ceramic bowl.,"{'ripe','blue','ceramic'}"
A rusty old pickup truck sits in an overgrown field.,"{'rusty','old','overgrown'}"
Three smooth eggs balance in a wire basket.,"{'smooth','wire'}"
A cracked sidewalk leads to a blooming garden.,"{'cracked','blooming'}"
Two fluffy white clouds drift across a azure sky.,"{'fluffy','white','azure'}"
A dented trash can lid balances precariously.,"{'dented','precarious'}"
Five colorful kites soar high in a breezy sky.,"{'colorful','breezy'}"
A chipped tooth shows through a wide smile.,"{'chipped','wide'}"
Two mismatched socks hang on a plastic clothesline.,"{'mismatched','plastic'}"
A frayed American flag waves atop a tall pole.,"{'frayed','tall'}"
Three ripe avocados rest on a wooden cutting board.,"{'ripe','wooden'}"
A scratched vinyl record spins on a turntable.,"{'scratched','vinyl'}"
Four shiny coins glint at the bottom of a wishing well.,{'shiny'}
A threadbare teddy bear sits on a child's bed.,{'threadbare'}
Two spotted cows graze in a lush green field.,"{'spotted','lush','green'}"
A cracked mirror reflects a dimly lit room.,"{'cracked','dimly lit'}"
Three smooth pebbles skip across a calm pond.,"{'smooth','calm'}"
A chipped china teacup holds steaming Earl Grey.,"{'chipped','china','steaming'}"
Two striped zebras drink from a muddy watering hole.,"{'striped','muddy'}"
A worn baseball glove catches a scuffed white ball.,"{'worn','scuffed','white'}"
Four glossy magazines fan out on a glass table.,"{'glossy','glass'}"
A rusty old bicycle leans against a brick wall.,"{'rusty','old','brick'}"
Three yellow tennis balls rest in a mesh bag.,"{'yellow','mesh'}"
A crumpled paper map unfolds on a car dashboard.,"{'crumpled','paper'}"
Two fluffy rabbits nibble on fresh carrots.,"{'fluffy','fresh'}"
A dented fender mars a sleek sports car.,"{'dented','sleek'}"
Five sharp kitchen knives align on a magnetic strip.,"{'sharp','magnetic'}"
A tattered paperback book rests on a nightstand.,{'tattered'}
Two mismatched earrings dangle from pierced ears.,"{'mismatched','pierced'}"
A frayed rope swing hangs from an oak branch.,"{'frayed','oak'}"
Three ripe peaches fill a woven wicker basket.,"{'ripe','woven','wicker'}"
A scratched CD case lies open on a desk.,{'scratched'}
Four colorful marbles roll across a tile floor.,"{'colorful','tile'}"
A wilted rose droops in a crystal vase.,"{'wilted','crystal'}"
Two spotted ladybugs crawl on a green leaf.,"{'spotted','green'}"
A cracked leather wallet bulges with credit cards.,"{'cracked','leather','bulging'}"
Three shiny apples rest in a wooden fruit bowl.,"{'shiny','wooden'}"
A chipped enamel bathtub fills with soapy water.,"{'chipped','enamel','soapy'}"
Two striped candy canes hang on a Christmas tree.,{'striped'}
A worn path winds through a dense forest.,"{'worn','dense'}"
Four ripe bananas curve on a countertop.,{'ripe'}
A rusted chain swings from a playground set.,{'rusted'}
Three smooth golf balls nestle in long grass.,"{'smooth','long'}"
A cracked egg yolk spreads in a hot skillet.,"{'cracked','hot'}"
Two fluffy pillows rest on a leather couch.,"{'fluffy','leather'}"
A dented aluminum can lies in a recycling bin.,"{'dented','aluminum'}"
Five colorful buttons fasten a wool sweater.,"{'colorful','wool'}"
A chipped wooden picture frame holds a faded photo.,"{'chipped','wooden','faded'}"
Two mismatched chopsticks rest on a ceramic plate.,"{'mismatched','ceramic'}"
A frayed electrical cord dangles from a socket.,{'frayed'}
Three ripe tomatoes sit on a marble countertop.,"{'ripe','marble'}"
A scratched sunglasses lens reflects sunlight.,{'scratched'}
Four shiny hubcaps lean against a garage wall.,{'shiny'}
A threadbare carpet covers creaky wooden stairs.,"{'threadbare','creaky','wooden'}"
Two spotted dice roll across a felt table.,"{'spotted','felt'}"
A cracked smartphone screen glows dimly.,"{'cracked','dim'}"
Three smooth stones stack in a zen garden.,"{'smooth','zen'}"
A chipped mug steams with fresh coffee.,"{'chipped','fresh'}"
Two striped bass swim in an aquarium tank.,{'striped'}
A worn leather saddle rests on a stable door.,"{'worn','leather'}"
Four glossy chestnuts nestle in autumn leaves.,"{'glossy','autumn'}"
A rusty old watering can tips in a flowerbed.,"{'rusty','old'}"
Three yellow pencils lie beside a spiral notebook.,"{'yellow','spiral'}"
A crumpled aluminum foil ball sits in a waste bin.,"{'crumpled','aluminum'}"
Two fluffy sheep graze on a hillside.,{'fluffy'}
A dented mailbox stands at the end of a driveway.,{'dented'}
Five sharp thorns protrude from a rose stem.,{'sharp'}
A tattered flag flutters in a strong wind.,"{'tattered','strong'}"
Two mismatched gloves lie forgotten on a park bench.,"{'mismatched','forgotten'}"
A frayed shoelace dangles from a muddy boot.,"{'frayed','muddy'}"
Three ripe strawberries rest on a porcelain plate.,"{'ripe','porcelain'}"
A scratched wooden floor shows years of wear.,"{'scratched','wooden'}"
Four colorful fish swim in a small pond.,"{'colorful','small'}"
A wilted lettuce leaf droops in a salad bowl.,{'wilted'}
Two spotted puppies play with a rubber ball.,"{'spotted','rubber'}"
A cracked leather-bound book lies open on a desk.,"{'cracked','leather-bound'}"
Three shiny coins stack on a wooden table.,"{'shiny','wooden'}"
A chipped flowerpot holds blooming geraniums.,"{'chipped','blooming'}"
Two striped tigers pace in a zoo enclosure.,{'striped'}
A worn baseball cap hangs on a metal hook.,"{'worn','metal'}"
Four ripe plums nestle in a fruit bowl.,{'ripe'}
A rusted garden gate creaks on its hinges.,"{'rusted','creaky'}"
Three smooth seashells line a sandy shore.,"{'smooth','sandy'}"
A cracked sidewalk leads to an old schoolhouse.,"{'cracked','old'}"
Two fluffy cats nap in a sunny window.,"{'fluffy','sunny'}"
A dented saucepan simmers on a stovetop.,{'dented'}
Five colorful crayons roll across a desk.,{'colorful'}
A chipped tooth shows in a child's grin.,{'chipped'}
Two mismatched shoes sit by the front door.,{'mismatched'}
A frayed hammock sways between two trees.,{'frayed'}
Three ripe mangoes fill a fruit basket.,{'ripe'}
A scratched car door shows signs of an accident.,{'scratched'}
Four shiny trophies line a dusty shelf.,"{'shiny','dusty'}"
A threadbare blanket covers a sleeping dog.,"{'threadbare','sleeping'}"
Two spotted owls perch on a bare branch.,"{'spotted','bare'}"
A cracked lightbulb flickers dimly.,"{'cracked','dim'}"
Three smooth marbles roll in a wooden box.,"{'smooth','wooden'}"
A chipped plate holds a slice of birthday cake.,{'chipped'}
Two striped bees buzz around a flower garden.,{'striped'}
A worn leather wallet bulges with receipts.,"{'worn','leather','bulging'}"
Four glossy apples shine in a fruit bowl.,{'glossy'}
A rusty old key dangles from a brass ring.,"{'rusty','old','brass'}"
Three yellow daffodils bloom in a glass vase.,"{'yellow','glass'}"
A crumpled paper bag lies on a sidewalk.,"{'crumpled','paper'}"
Two fluffy squirrels chase each other in a park.,{'fluffy'}
A dented garbage can stands at the curb.,{'dented'}
Five sharp icicles hang from a snowy roof.,"{'sharp','snowy'}"
A tattered concert ticket stub lies in a scrapbook.,{'tattered'}
